id,depth,qc,fs
972,7.48,8.04,87.1
972,7.49,7.86,84.9
972,7.5,7.69,82.5
972,7.51,7.52,80.7
972,7.52,7.38,79.2
972,7.53,7.22,78.5
972,7.54,7.09,78.2
972,7.55,7.09,78.2
972,7.56,6.97,78.2
972,7.57,6.85,78.2
972,7.58,6.75,78.3
972,7.59,6.68,78.5
972,7.6,6.65,78.4
972,7.61,6.66,78.2
972,7.62,6.67,77.9
972,7.63,6.7,77.2
972,7.64,6.91,77.4
972,7.65,7.12,77.7
972,7.66,7.22,62.4
972,7.67,7.14,62.9
972,7.68,7.14,63.4
972,7.69,6.99,79.7
972,7.7,6.85,78.4
972,7.71,6.86,79.9
972,7.72,6.87,82.7
972,7.73,6.94,82.1
972,7.74,7.17,81.5
972,7.75,7.02,80.2
972,7.76,7.05,79.2
972,7.77,7.08,79.9
972,7.78,7.08,80.6
972,7.79,7.04,81.5
972,7.8,6.97,81.6
972,7.81,6.97,81.8
972,7.82,6.85,82.0
972,7.83,6.76,82.2
972,7.84,6.69,83.1
972,7.85,6.61,84.8
972,7.86,6.54,88.0
972,7.87,6.44,89.0
972,7.88,6.44,92.0
972,7.89,6.33,91.7
972,7.9,6.18,91.3
972,7.91,6.02,90.4
972,7.92,5.88,87.4
972,7.93,5.79,85.7
972,7.94,5.78,85.7
972,7.95,5.76,85.9
972,7.96,5.76,86.1
972,7.97,5.69,87.1
972,7.98,5.52,90.3
972,7.99,5.25,95.1
972,8.0,4.85,99.3
972,8.01,4.85,99.3
972,8.02,4.43,104.9
972,8.03,4.04,104.5
972,8.04,3.72,104.1
972,8.05,3.47,101.6
972,8.06,3.41,93.5
972,8.07,3.43,85.7
972,8.08,3.44,80.1
972,8.09,3.51,80.1
972,8.1,3.9,74.3
972,8.11,4.46,67.6
972,8.12,4.94,66.3
972,8.13,5.28,65.1
972,8.14,5.42,65.7
972,8.15,5.46,65.2
972,8.16,5.46,65.0
972,8.17,5.49,65.9
972,8.18,5.5,66.9
972,8.19,5.51,69.0
972,8.2,5.5,70.5
972,8.21,5.46,71.2
972,8.22,5.43,71.0
972,8.23,5.43,72.2
972,8.24,5.4,73.0
972,8.25,5.37,73.7
972,8.26,5.36,73.8
972,8.27,5.35,73.8
972,8.28,5.35,73.8
972,8.29,5.35,73.8
972,8.3,5.35,72.9
972,8.31,5.34,72.0
972,8.32,5.33,71.5
972,8.33,5.31,71.6
972,8.34,5.3,71.7
972,8.35,5.3,73.9
972,8.36,5.3,73.9
972,8.37,5.27,74.2
972,8.38,5.23,73.8
972,8.39,5.16,73.3
972,8.4,5.16,71.9
972,8.41,5.16,71.5
972,8.42,5.18,71.1
972,8.43,5.18,70.9
972,8.44,5.25,70.7
972,8.45,5.27,70.4
972,8.46,5.22,70.2
972,8.47,5.2,69.9
972,8.48,5.21,70.3
972,8.49,5.21,70.7
972,8.5,5.22,70.2
972,8.51,5.25,69.8
972,8.52,5.25,69.7
972,8.53,5.27,69.7
972,8.54,5.27,70.4
972,8.55,5.25,71.1
972,8.56,5.21,71.6
972,8.57,5.16,73.6
972,8.58,5.12,73.6
972,8.59,5.12,73.7
972,8.6,5.08,74.1
972,8.61,5.04,75.5
972,8.62,5.02,75.6
972,8.63,5.01,75.6
972,8.64,5.01,75.6
972,8.65,5.03,75.0
972,8.66,5.04,74.5
972,8.67,5.08,74.1
972,8.68,5.11,72.3
972,8.69,5.19,70.4
972,8.7,5.3,69.9
972,8.71,5.37,70.1
972,8.72,5.37,70.3
972,8.73,5.41,72.4
972,8.74,5.4,75.4
972,8.75,5.35,75.4
972,8.76,5.37,78.0
972,8.77,5.39,79.5
972,8.78,5.42,80.5
972,8.79,5.5,80.7
972,8.8,5.66,80.8
972,8.81,5.73,80.7
972,8.82,5.73,80.6
972,8.83,5.88,80.5
972,8.84,6.08,79.9
972,8.85,6.46,79.4
972,8.86,6.86,78.0
972,8.87,7.22,76.5
972,8.88,7.57,76.3
972,8.89,7.72,76.2
972,8.9,7.72,76.0
972,8.91,7.86,76.3
972,8.92,8.03,76.6
972,8.93,8.13,80.1
972,8.94,8.14,83.9
972,8.95,8.08,86.5
972,8.96,8.0,87.0
972,8.97,8.0,88.0
972,8.98,7.89,87.5
972,8.99,7.89,88.5
972,9.0,7.89,88.8
972,9.01,7.91,88.8
972,9.02,7.98,88.9
972,9.03,7.97,90.9
972,9.04,7.97,92.9
972,9.05,7.89,97.2
972,9.06,7.79,96.6
972,9.07,7.8,97.5
972,9.08,7.82,97.9
972,9.09,7.85,98.2
972,9.1,7.97,98.2
972,9.11,8.08,98.9
972,9.12,8.08,100.5
972,9.13,8.2,102.8
972,9.14,8.26,105.3
972,9.15,8.27,107.2
972,9.16,8.26,108.1
972,9.17,8.26,109.5
972,9.18,8.19,109.5
972,9.19,8.19,110.7
972,9.2,8.2,113.1
972,9.21,8.21,115.0
972,9.22,8.34,117.2
972,9.23,8.47,117.8
972,9.24,8.61,118.5
972,9.25,8.61,119.2
972,9.26,8.71,120.0
972,9.27,8.95,121.7
972,9.28,9.18,123.1
972,9.29,9.36,119.9
972,9.3,9.42,116.7
972,9.31,9.37,117.7
972,9.32,9.37,118.6
972,9.33,9.37,120.7
972,9.34,9.38,122.8
972,9.35,9.4,123.2
972,9.36,9.52,121.6
972,9.37,9.7,120.0
972,9.38,9.9,120.0
972,9.39,10.09,122.6
972,9.4,10.09,125.1
972,9.41,10.3,126.6
972,9.42,10.51,128.8
972,9.43,10.72,131.5
972,9.44,10.88,134.0
972,9.45,11.03,136.5
972,9.46,11.22,136.5
972,9.47,11.22,137.8
972,9.48,11.39,139.3
972,9.49,11.51,139.7
972,9.5,11.63,139.6
972,9.51,11.7,139.6
972,9.52,11.61,134.6
972,9.53,11.61,134.6
972,9.54,11.31,131.1
972,9.55,10.82,130.9
972,9.56,10.26,130.6
972,9.57,9.87,129.4
972,9.58,9.46,130.0
972,9.59,9.21,128.8
972,9.6,9.21,126.0
972,9.61,9.22,126.0
972,9.62,9.23,124.2
972,9.63,9.27,121.1
972,9.64,9.48,116.3
972,9.65,9.6,109.7
972,9.66,9.49,115.1
972,9.67,9.24,99.4
972,9.68,9.24,99.2
972,9.69,8.88,99.3
972,9.7,8.63,99.4
972,9.71,8.49,102.6
972,9.72,8.35,102.5
972,9.73,8.32,103.2
972,9.74,8.32,103.5
972,9.75,8.32,103.5
972,9.76,8.34,103.3
972,9.77,8.36,103.1
972,9.78,8.47,103.3
972,9.79,8.58,103.5
972,9.8,8.55,104.2
972,9.81,8.4,104.5
972,9.82,8.28,104.4
972,9.83,8.28,104.3
972,9.84,8.21,104.1
972,9.85,8.22,102.3
972,9.86,8.22,101.3
972,9.87,8.26,99.9
972,9.88,8.4,99.6
972,9.89,8.51,99.9
972,9.9,8.51,100.2
972,9.91,8.49,100.8
972,9.92,8.39,102.5
972,9.93,8.21,102.6
972,9.94,8.0,102.4
972,9.95,7.72,102.3
